"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/3",LOS MUDOS
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/2",LOS OLIVOS A
MP. MARIÑO,"15-6-1-150601040-1",LOS OLIVOS I,"15-6-1-150601040-1PROV/1",GUAMACHE
MP. MARIÑO,"15-6-1-150601001-2",CHARAGUARAY CENTRO,"15-6-1-150601001-2PROV/2",PRINCIPAL A Y TIUNA
MP. MARIÑO,"15-6-1-150601001-2",CHARAGUARAY CENTRO,"15-6-1-150601001-2PROV/1",EDIF MARISOL TORRE A Y B
MP. DIAZ,"15-2-2-150202005-1",GUARIDAS DEL SOL,"15-2-2-150202005-1PROV/1",MANZANA F1-I
MP. MARIÑO,"15-6-1-150601027-4",LOS COCOS ALCATRAZ,"15-6-1-150601027-4PROV/1",SEGUNDA TRANSVERSAL B
MP. MARIÑO,"15-6-1-150601044-1",LOS COCOS POR LA PAZ,"15-6-1-150601044-1PROV/1",LOS ALMENDRONES B
MP. MARIÑO,"15-6-1-150601006-2",PUEBLO NUEVO CENTRO,"15-6-1-150601006-2PROV/2",BALDOMERO
MP. MARIÑO,"15-6-1-150601006-2",PUEBLO NUEVO CENTRO,"15-6-1-150601006-2PROV/1",LIBERTAD
MP. MARIÑO,"15-6-1-150601013-5",ACHIPANO 2 OESTE,"15-6-1-150601013-5PROV/3",RES. POLICIAL
MP. MARIÑO,"15-6-1-150601013-5",ACHIPANO 2 OESTE,"15-6-1-150601013-5PROV/2",LA FE
MP. MARIÑO,"15-6-1-150601013-5",ACHIPANO 2 OESTE,"15-6-1-150601013-5PROV/1",RES. VALERA
MP. MARIÑO,"15-6-1-150601011-2",EL GENOVES,"15-6-1-150601011-2PROV/2",FERMIN SUR 2
MP. MARIÑO,"15-6-1-150601011-2",EL GENOVES,"15-6-1-150601011-2PROV/1",FERMIN NORTE 2
MP. MARIÑO,"15-6-1-150601026-1",CIUDAD DE PORLAMAR,"15-6-1-150601026-1PROV/1",SAN NICOLAS Y ARISMENDI
MP. MARIÑO,"15-6-1-150601003-4",PLAZA ALI PRIMERA,"15-6-1-150601003-4PROV/1",MARCANO B
MP. MARIÑO,"15-6-1-150601013-7",ACHIPANO I B,"15-6-1-150601013-7PROV/2",CAPITAN ALFONZO
MP. MARIÑO,"15-6-1-150601046-2",LOS OLIVOS II,"15-6-1-150601046-2PROV/1",INDEPENDENCIA I
MP. MARIÑO,"15-6-1-150601002-1",JOSE ASUNCION RODRIGUEZ ORIGINAL,"15-6-1-150601002-1PROV/1",LUISA CACERES DE ARISMENDI
MP. MARIÑO,"15-6-1-150601015-3",EL OTRO LADO DEL RIO,"15-6-1-150601015-3PROV/1",CEDEÑO
MP. MARIÑO,"15-6-1-150601037-4",LOS FERMINES,"15-6-1-150601037-4PROV/3",MANZANA 5
MP. MARIÑO,"15-6-1-150601037-4",LOS FERMINES,"15-6-1-150601037-4PROV/2",MANZANA 3
MP. MARIÑO,"15-6-1-150601037-4",LOS FERMINES,"15-6-1-150601037-4PROV/1",MANZANA 2
MP. MARIÑO,"15-6-1-150601016-1",LOS DELFINES I,"15-6-1-150601016-1PROV/2",VIRGILIA FAJARDO LADO A
MP. MARIÑO,"15-6-1-150601016-1",LOS DELFINES I,"15-6-1-150601016-1PROV/1",NUEVA ESPARTA LADO B
